,Genre,Number of Books
1102,Popular,176
1103,Punk,46
1104,Natural Resources,28
1105,Animal Rights,43
1106,Non-Vegan Vegetarian,103
1107,Hunting & Fishing,14
1108,South,155
1109,Atmospheric Sciences,38
1110,Disaster Relief,61
1111,Encyclopedias & Subject Guides,46
1112,Mountains,13
1113,Literary & Religious,24
1114,Park & Recreation,3
1115,Industries,51
1116,Outdoors & Nature,10
1117,Deserts,5
1118,Microeconomics,21
1119,Central,6
1120,Health,117
1121,Death & Grief,89
1122,Men's Inspirational,3
1123,Biography,41
1124,Love & Loss,94
1125,Relationships,57
1126,Multicultural & Interracial,474
1127,Business Development,22
1128,Development & Growth,68
1129,"Fantasy, Horror & Science Fiction",104
1130,"Crime, Thriller & Mystery",55
1131,Italian,282
1132,Foreign Languages,134
1133,Foreign Language Dictionaries & Thesauruses,102
1134,Men's Issues,32
1135,Faith,124
1136,Religious Studies,211
1137,Protestant,6
1138,Evangelism,80
1139,Journal Writing,13
1140,Coloring Books for Grown-Ups,38
1141,Video Games,8
1142,Fantagraphics,110
1143,Art of Comics and Manga,23
1144,Negocios y Economía,5
1145,Autoayuda y Desarrollo Personal,9
1146,Medical eBooks,6
1147,Industrial Relations,24
1148,Running Meetings & Presentations,43
1149,Economic Policy & Development,107
1150,Economic Policy,100
1151,Islam,131
1152,Sufism,47
1153,Babysitting,63
1154,Explore the World,122
1155,Religious & Inspirational Fiction,58
1156,Roman Catholicism,35
1157,Civil Rights,47
1158,Lawyers & Judges,53
1159,Afghan War,80
1160,Wine & Spirits,18
1161,Air Travel,13
1162,Astronomy & Space Science,2
1163,Trivia,90
1164,Income Inequality,20
1165,Comparative,12
1166,Water Supply & Land Use,7
1167,Water Quality & Treatment,7
1168,Secondary Education,43
1169,Alternative History,85
1170,Angels,153
1171,United Kingdom,5
1172,Ireland,11
1173,Internet & Social Media,41
1174,Windows Desktop,10
1175,Electronic Documents,4
1176,Web Design,75
1177,Computer Science,232
1178,Folklore,76
1179,College Guides,11
1180,Student Life,33
1181,Dating,55
1182,Noah's Ark,5
1183,Religion,97
1184,Science & Mathematics,181
1185,Modern,289
1186,Epistemology,48
1187,Greece,93
1188,Hymns & Hymnals,3
1189,Salvation Theory,53
1190,New Testament,160
1191,"Jesus, the Gospels & Acts",36
1192,Harlequin Presents,43
1193,Harlequin Special Releases,27
1194,Harlequin Desire,35
1195,Harlequin Kimani Romance,20
1196,Pets & Animal Care,23
1197,Star Wars,57
1198,Composers & Musicians,119
1199,Schizophrenia,25
1200,Protestantism,27
1201,Divination,32
1202,Weight Loss,317
1203,Medical Books,109
1204,Naturopathy,25
1205,ESP,54
1206,Hypnosis,10
1207,Churches & Church Leadership,32
1208,Personal Growth,225
1209,Catholic,11
1210,Genres & Styles,5
1211,Foreign & International Law,30
1212,Diaries & Journals,30
1213,Rites & Ceremonies,25
1214,Ritual,55
1215,Social Services & Welfare,153
1216,Women & Judaism,14
1217,Meats,27
